model_name,roc_auc,pr_auc,brier,log_loss,tpr_0,tpr_1,fpr_0,fpr_1,selection_rate_0,selection_rate_1,auc_roc_group0,auc_roc_group1,eo_gap_tpr,eo_gap_fpr,dp_diff,dp_ratio,target_acceptance_rate,threshold_fixed_r,tpr_0_fixed_r,tpr_1_fixed_r,fpr_0_fixed_r,fpr_1_fixed_r,selection_rate_0_fixed_r,selection_rate_1_fixed_r,auc_roc_group0_fixed_r,auc_roc_group1_fixed_r,eo_gap_tpr_fixed_r,eo_gap_fpr_fixed_r,dp_diff_fixed_r,dp_ratio_fixed_r
GLM,0.6697679368215556,0.7930071521208929,0.2089004101610398,0.6037757474217789,0.876961829102887,0.9843924191750278,0.755744412968209,0.9711637487126673,0.8307747661309667,0.9808847624249044,0.6573737670918367,0.6595796875651798,0.10743059007214084,0.21541933574445826,0.15010999629393773,1.1806867545977844,0.02,0.8982095880698452,0.006006587870567719,0.07283537718320326,0.0006295247088448222,0.01132852729145211,0.00395778364116095,0.056526488257782635,0.6573737670918367,0.6595796875651798,0.06682878931263554,0.010699002582607288,0.052568704616621685,14.28235936646641
NN,0.7396946573322964,0.8507232236193033,0.19115781470626358,0.557662106889778,0.8017826002712652,0.9739873652917131,0.5256531318854265,0.8990731204943357,0.6965699208443272,0.9541234298197706,0.731290592130746,0.7288371315147835,0.1722047650204479,0.37341998860890924,0.2575535089754434,1.3697453784155038,0.02,0.9626348614692688,0.018794807207905443,0.05314009661835749,0.0,0.0,0.011633485248260973,0.03904969961769525,0.731290592130746,0.7288371315147835,0.03434528941045205,0.0,0.027416214369434276,3.3566638702303404
ADV_NN,0.7437641264551385,0.8557934684125705,0.18975389691541844,0.5531120694347098,0.7672931602402635,0.9394277220364177,0.4696254327982373,0.7929969104016478,0.6538738306548333,0.900600764609503,0.7348866956155331,0.735438263334202,0.17213456179615416,0.32337147760341045,0.2467269339546697,1.3773311033224571,0.02,0.9668512940406799,0.01821352451075373,0.05425492382014121,0.0,0.0,0.01127368673542816,0.03986892408519935,0.7348866956155331,0.735438263334202,0.036041399309387476,0.0,0.028595237349771187,3.5364583938552356
