lambda_adv,roc_auc,eo_gap_tpr,eo_gap_fpr,tpr_0,tpr_1,fpr_0,fpr_1,selection_rate_0,selection_rate_1,dp_diff,dp_ratio
0.05,0.7673047158565893,0.020186335403726705,0.001790543198343296,0.015527950310559006,0.03571428571428571,0.0014570887367040652,0.003247631935047361,0.003193255843658194,0.00695276912011508,0.0037595132764568864,2.1773291776552384
0.1,0.7629725268965378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,0.767084644913678,0.026671538180489587,0.003893285896780938,0.027950310559006212,0.0546218487394958,0.0023313419787265046,0.0062246278755074425,0.005492400051092094,0.011747782306401342,0.006255382255309248,2.1389159924840953
0.3,0.7622565163462693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.7590498058541433,0.0052673243210327614,0.0001249271209168736,0.0010351966873706005,0.0063025210084033615,0.00014570887367040654,0.00027063599458728013,0.00025546046749265553,0.0009590026372572524,0.0007035421697645968,3.754015823543514
0.8,0.7579234735070186,0.0032578248690780668,8.312701101413178e-05,0.007246376811594203,0.01050420168067227,0.0011656709893632523,0.0010825439783491205,0.0019159535061949162,0.002157755933828818,0.00024180242763390176,1.1262047470630545
1.2,0.7494975249326157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2.0,0.7500487367973854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
