model_name,roc_auc,pr_auc,brier,log_loss,tpr_0,tpr_1,fpr_0,fpr_1,selection_rate_0,selection_rate_1,auc_roc_group0,auc_roc_group1,eo_gap_tpr,eo_gap_fpr,dp_diff,dp_ratio,target_acceptance_rate,threshold_fixed_r,tpr_0_fixed_r,tpr_1_fixed_r,fpr_0_fixed_r,fpr_1_fixed_r,selection_rate_0_fixed_r,selection_rate_1_fixed_r,auc_roc_group0_fixed_r,auc_roc_group1_fixed_r,eo_gap_tpr_fixed_r,eo_gap_fpr_fixed_r,dp_diff_fixed_r,dp_ratio_fixed_r
GLM,0.7568794044465863,0.9021465027298774,0.16930341260832021,0.5023830290737745,0.8998147836336083,0.9668989547038328,0.7700362464760371,0.9251412429378532,0.8615530752790311,0.9586361095584125,0.752669050367554,0.7466618437370816,0.06708417107022446,0.15510499646181608,0.09708303427938136,1.1126837534042102,0.02,0.9643953886006676,0.011618117528203402,0.059581881533101046,0.0,0.0,0.008192828306815484,0.04779206260480715,0.752669050367554,0.7466618437370816,0.047963764004897644,0.0,0.03959923429799167,5.833402192140374
NN,0.7850690365779649,0.9161130779120011,0.1587594385072124,0.472575174335757,0.9289442667115676,0.9909407665505227,0.7507047925896093,0.9562146892655368,0.8763951555450011,0.9840693124650642,0.7803940342061326,0.7719472824268195,0.061996499838955055,0.20550989667592745,0.1076741569200631,1.122860283102665,0.02,0.9838268160820007,0.014817309311331874,0.0529616724738676,0.0,0.0,0.010448824507242936,0.042481833426495245,0.7803940342061326,0.7719472824268195,0.03814436316253572,0.0,0.03203300891925231,4.065704558158442
ADV_NN,0.808376674819658,0.9269728068805453,0.15230650876620258,0.45152853358435,0.9201885839366897,0.9759581881533101,0.6991542488924688,0.8714689265536724,0.8550225599620043,0.9552822806036892,0.8031599893588576,0.8017849760822064,0.05576960421662047,0.17231467766120356,0.10025972064168498,1.1172597371537663,0.02,0.9940323233604431,0.018016501094460347,0.046341463414634146,0.0,0.0,0.012704820707670388,0.037171604248183346,0.8031599893588576,0.8017849760822064,0.0283249623201738,0.0,0.02446678354051296,2.925787392319627
