bias_strength,model_name,roc_auc,eo_gap_tpr,eo_gap_fpr,dp_ratio_fixed_2pct,dp_diff,dp_ratio
0.0,GLM,0.761078658087319,0.058600123321128295,0.1617473395359632,2.9755950937068247,0.09251993667202096,1.1075504357007262
0.0,NN,0.8043284198495179,0.06322677769870577,0.19839655419564906,2.23900803010266,0.10925616172820019,1.12622159040808
0.0,ADV_NN,0.8124683136698283,0.05984700435848078,0.1941075016325704,2.0253877052270335,0.11476045795043699,1.1424064501044027
0.25,GLM,0.7592239838753555,0.05999385154412484,0.15952943291216437,3.923048257872182,0.09312092062644628,1.1082191794557652
0.25,NN,0.7983335111497282,0.0,0.0,2.6900902339694963,0.0,1.0
0.25,ADV_NN,0.7997000944768924,0.0808979561664378,0.25167125151595826,2.6900902339694963,0.14018264337101083,1.1722775751452872
0.5,GLM,0.7580489726629616,0.06202606874888894,0.1565060490430975,4.37139663020043,0.09383334047921277,1.1091374663051967
0.5,NN,0.7878112571047552,0.032595381735213924,0.14778800931077085,2.6900902339694963,0.06717573646916641,1.0722731288379304
0.5,ADV_NN,0.8094005272733411,0.05840346660267892,0.18917281582558,2.23900803010266,0.10867734548672658,1.1306983583734416
1.0,GLM,0.7568794044465863,0.06708417107022446,0.15510499646181608,5.833402192140374,0.09708303427938136,1.1126837534042102
1.0,NN,0.8026662071307589,0.05973752898955875,0.22784198083692275,1.9917014232274155,0.11342103694720596,1.1308178544466405
1.0,ADV_NN,0.8070317923262935,0.0759067945717582,0.2626418971036949,2.735530947381143,0.13639023882591306,1.1630487709569681
2.0,GLM,0.7551537612578857,0.07487135470782214,0.1748903845585006,7.917424665887495,0.10655083793291253,1.123587819456134
2.0,NN,0.7943832478954904,0.0865865098888643,0.30302383894095664,1.5692193031488726,0.15180575933111384,1.1804018773933456
2.0,ADV_NN,0.802871742486949,0.06041286177179961,0.21948117253823174,2.8769020557729332,0.10775625710246228,1.1210353690740114
