model_name,target_rate,roc_auc,pr_auc,brier,log_loss,tpr_0,tpr_1,fpr_0,fpr_1,selection_rate_0,selection_rate_1,auc_roc_group0,auc_roc_group1,eo_gap_tpr,eo_gap_fpr,dp_diff,dp_ratio,threshold,actual_rate
GLM,0.01,0.7719912646844234,0.3372465358160456,0.09267299402475082,0.3133621350106882,0.030020703933747412,0.0819327731092437,0.0023313419787265046,0.009742895805142085,0.005747860518584749,0.017981299448573483,0.7830323977496274,0.7689962588553688,0.05191206917549629,0.00741155382641558,0.012233438929988735,3.1283465196195954,0.5445635035687283,0.01
NN,0.01,0.7512306369754915,0.32285938328182373,0.09562903448901562,0.3270370711674855,0.025879917184265012,0.08403361344537816,0.0023313419787265046,0.010554803788903925,0.005236939583599438,0.018940302085830737,0.7562877300759707,0.7467068830238455,0.05815369626111315,0.00822346181017742,0.013703362502231298,3.616673781218752,0.5031383037567139,0.01
ADV_NN,0.01,0.7519166303877478,0.30791627921274717,0.09551752541917045,0.3238156965112713,0.049689440993788817,0.037815126050420166,0.004371266210112196,0.006495263870094722,0.009962958232213565,0.01006952769120115,0.7577491930956317,0.7418348665582607,0.011874314943368651,0.002123997659982526,0.00010656945898758485,1.0106965678771,0.3518618643283844,0.01
GLM,0.02,0.7719912646844234,0.3372465358160456,0.09267299402475082,0.3133621350106882,0.062111801242236024,0.13445378151260504,0.0053912283258050414,0.021380243572395128,0.012389832673393792,0.03428434428194677,0.7830323977496274,0.7689962588553688,0.072341980270369,0.015989015246590087,0.02189451160855298,2.7671353750861987,0.47120047045759433,0.02
NN,0.02,0.7512306369754915,0.32285938328182373,0.09562903448901562,0.3270370711674855,0.06314699792960662,0.13865546218487396,0.005536937199475448,0.02029769959404601,0.012645293140886448,0.03380484296331815,0.7562877300759707,0.7467068830238455,0.07550846425526733,0.01476076239457056,0.0211595498224317,2.673314298584018,0.45254549384117126,0.02
ADV_NN,0.02,0.7519166303877478,0.30791627921274717,0.09551752541917045,0.3238156965112713,0.07867494824016563,0.09033613445378151,0.009762494535917238,0.014614343707713126,0.018265423425724868,0.023255813953488372,0.7577491930956317,0.7418348665582607,0.011661186213615879,0.004851849171795888,0.004990390527763504,1.2732151569360872,0.33701395988464355,0.02
GLM,0.05,0.7719912646844234,0.3372465358160456,0.09267299402475082,0.3133621350106882,0.16045548654244307,0.2647058823529412,0.017485064840448785,0.05385656292286874,0.035125814280240135,0.07791896427715177,0.7830323977496274,0.7689962588553688,0.10425039581049811,0.03637149808241996,0.04279314999691163,2.2182820775484404,0.3557347283460995,0.05
NN,0.05,0.7512306369754915,0.32285938328182373,0.09562903448901562,0.3270370711674855,0.16977225672877846,0.2415966386554622,0.021127786682208948,0.047631935047361296,0.03946864222761528,0.06976744186046512,0.7562877300759707,0.7467068830238455,0.07182438192668372,0.026504148365152348,0.030298799632849836,1.7676676450666062,0.37391260266304016,0.05
ADV_NN,0.05,0.7519166303877478,0.30791627921274717,0.09551752541917045,0.3238156965112713,0.17908902691511386,0.18487394957983194,0.02987031910243334,0.036265223274695536,0.048282028356111895,0.05322464636777751,0.7577491930956317,0.7418348665582607,0.005784922664718084,0.006394904172262197,0.004942618011665616,1.1023697259611906,0.30306705832481384,0.05
